City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
202,polavaram,17.2467,81.6439,29.12,66,100,5.04,IN,2024-09-15 04:28:42
203,la passe,45.5549,-0.8967,9.49,70,21,4.67,FR,2024-09-15 04:28:43
204,balabac,7.9868,117.0645,29.22,71,99,7.68,PH,2024-09-15 04:28:44
205,shubarshi,48.5872,57.1869,18.12,47,4,5.76,KZ,2024-09-15 04:28:45
206,saint-felix-de-valois,46.1668,-73.4324,15.58,92,7,1.27,CA,2024-09-15 04:28:46
207,el calafate,-50.3408,-72.2768,2.68,83,17,4.57,AR,2024-09-15 04:28:47
208,emerald,-23.5333,148.1667,27.41,28,0,4.46,AU,2024-09-15 04:28:48
209,bangassou,4.7413,22.8184,20.12,99,100,0.67,CF,2024-09-15 04:28:49
210,ierapetra,35.01,25.7353,23.41,55,58,0.45,GR,2024-09-15 04:28:50
211,talnakh,69.4865,88.3972,4.25,60,92,1.58,RU,2024-09-15 04:28:52
212,nova vicosa,-17.8919,-39.3719,22.09,84,0,3.19,BR,2024-09-15 04:28:53
213,tsiombe,-25.3,45.4833,22.64,64,0,2.97,MG,2024-09-15 04:28:54
214,barbezieux-saint-hilaire,45.4726,-0.1522,8.49,78,29,3.44,FR,2024-09-15 04:28:55
215,zhangye,38.9342,100.4517,19.92,48,70,6.02,CN,2024-09-15 04:28:56
216,mecca,21.4267,39.8261,28.75,79,61,2.26,SA,2024-09-15 04:28:57
217,erdenet,49.0333,104.0833,12.58,36,82,9.44,MN,2024-09-15 04:28:58
218,nagqu,31.5,92.0,12.75,49,13,3.29,CN,2024-09-15 04:29:00
219,bismarck,46.8083,-100.7837,18.78,85,100,2.57,US,2024-09-15 04:29:02
220,kristiansund,63.1115,7.732,13.96,62,100,4.63,NO,2024-09-15 04:29:03
221,franklin,39.9667,-83.0166,23.18,60,0,4.12,US,2024-09-15 04:29:04
222,rongelap,11.1635,166.8941,28.66,81,18,7.51,MH,2024-09-15 04:29:05
223,fonte boa,-2.4959,-66.2662,26.56,65,32,1.14,BR,2024-09-15 04:29:06
224,madurantakam,12.5167,79.9,33.52,42,54,6.87,IN,2024-09-15 04:29:07
225,invercargill,-46.4,168.35,6.12,95,100,4.02,NZ,2024-09-15 04:29:08
226,fale old settlement,-9.3852,-171.2468,28.45,76,100,6.31,TK,2024-09-15 04:29:09
227,ulsteinvik,62.3432,5.8487,16.5,70,90,4.86,NO,2024-09-15 04:29:10
228,estevan,49.1334,-102.9842,15.11,67,20,1.64,CA,2024-09-15 04:29:11
229,pallipattu,13.3386,79.4449,31.08,49,100,7.2,IN,2024-09-15 04:29:12
230,navasota,30.388,-96.0877,27.32,80,100,2.99,US,2024-09-15 04:29:13
231,maymana,35.9214,64.7836,21.3,21,35,1.2,AF,2024-09-15 04:29:15
232,khargone,21.8167,75.6,26.02,76,60,2.82,IN,2024-09-15 04:29:16
233,aitape,-3.1374,142.3475,30.49,61,74,1.9,PG,2024-09-15 04:29:17
234,butzow,53.85,11.9833,12.83,89,2,3.38,DE,2024-09-15 04:29:18
235,saint paul,44.9444,-93.0933,23.18,86,100,2.57,US,2024-09-15 04:29:19
236,san patricio,28.017,-97.5169,27.97,79,93,4.7,US,2024-09-15 04:29:20
237,sparti,37.0733,22.4297,18.3,80,7,1.94,GR,2024-09-15 04:29:21
238,hakui,36.8833,136.7833,31.29,80,100,4.49,JP,2024-09-15 04:29:22
239,hafar al-batin,28.4328,45.9708,27.32,18,0,2.57,SA,2024-09-15 04:29:23
240,bayganin,48.6947,55.8742,18.49,45,24,5.47,KZ,2024-09-15 04:29:24
241,pudozh,61.8099,36.5345,13.04,79,88,1.98,RU,2024-09-15 04:29:25
242,norrtalje,59.758,18.705,9.45,88,0,2.55,SE,2024-09-15 04:29:26
243,warwick,41.7001,-71.4162,17.94,89,20,2.06,US,2024-09-15 04:29:28
244,egilsstadir,65.2653,-14.3948,3.95,93,100,6.17,IS,2024-09-15 04:29:29
245,katsuura,35.1333,140.3,28.74,78,46,8.15,JP,2024-09-15 04:29:30
246,chernyshevskiy,63.0128,112.4714,3.05,62,86,4.86,RU,2024-09-15 04:29:31
247,claremont,34.0967,-117.7198,18.86,82,0,5.14,US,2024-09-15 04:29:32
248,aleksandrovsk-sakhalinskiy,50.8975,142.1561,14.78,61,4,2.75,RU,2024-09-15 04:29:33
249,saint-philippe,-21.3585,55.7679,19.08,73,55,6.31,RE,2024-09-15 04:29:34
250,st. john's,47.5649,-52.7093,11.1,81,100,7.2,CA,2024-09-15 04:25:20
251,qaqortoq,60.7167,-46.0333,4.29,93,100,2.36,GL,2024-09-15 04:29:36
